Player,Games,Score,Avg Opp Rating,TPR,Draw Rate %
Hikaru Nakamura,45,27.0,2752.1,2824,66.7
Fabiano Caruana,118,65.0,2738.9,2775,66.1
R Praggnanandhaa,146,83.0,2720.7,2771,68.5
Wei Yi,75,40.0,2722.7,2744,64.0
Anish Giri,96,53.5,2699.9,2743,67.7
Javokhir Sindarov,60,33.5,2681.3,2724,68.3
Andrey Esipenko,49,28.0,2669.0,2719,73.5
Matthias Bluebaum,44,21.0,2667.1,2653,63.6
